index,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind_Speed,Country,Date
0,jonesboro,35.8423,-90.7043,78.03,41,1,19.57,US,1619477469
1,tambilil,5.9622,124.6697,81.3,78,93,2.55,PH,1619477480
2,alice springs,-23.7,133.8833,53.6,50,0,3.44,AU,1619477481
3,ponta do sol,32.6667,-17.1,56.21,78,78,1.01,PT,1619477212
4,punta arenas,-53.15,-70.9167,44.29,93,90,5.75,CL,1619476936
5,bambous virieux,-20.3428,57.7575,77.49,83,75,12.66,MU,1619477264
6,ancud,-41.8697,-73.8203,53.17,82,75,8.05,CL,1619477481
7,mancio lima,-7.6142,-72.8958,77.0,88,75,9.22,BR,1619477482
8,tuktoyaktuk,69.4541,-133.0374,10.4,72,1,12.66,CA,1619477226
9,timmins,48.4669,-81.3331,48.2,25,75,9.22,CA,1619477482
10,santa ines,-3.6667,-45.38,75.24,94,76,3.22,BR,1619477483
11,ushuaia,-54.8,-68.3,44.6,81,75,3.44,AR,1619477205
12,berlevag,70.8578,29.0864,31.53,72,100,13.27,NO,1619477483
13,buenos aires,-34.6132,-58.3772,62.8,68,0,3.44,AR,1619477484
14,kununurra,-15.7667,128.7333,71.6,88,40,5.35,AU,1619477484
15,mattru,7.6244,-11.8332,78.66,83,59,2.66,SL,1619477485
16,mayo,38.8876,-76.5119,62.38,24,1,8.05,US,1619477485
17,price,39.5994,-110.8107,53.6,37,90,21.85,US,1619477485
18,nome,64.5011,-165.4064,44.6,57,1,4.61,US,1619477230
19,qaanaaq,77.484,-69.3632,39.22,70,93,7.09,GL,1619477220
20,new norfolk,-42.7826,147.0587,52.7,74,12,3.04,AU,1619477486
21,manta,-0.95,-80.7333,84.2,70,20,8.05,EC,1619477054
22,kainantu,-6.2887,145.8655,70.11,66,54,2.57,PG,1619477487
23,igarka,67.4667,86.5833,15.12,90,27,10.71,RU,1619477487
24,longido,-2.7333,36.6833,66.94,77,90,5.28,TZ,1619477488
25,greenville,35.6127,-77.3663,72.59,27,1,3.18,US,1619477488
26,la ronge,55.1001,-105.2842,41.0,60,100,18.41,CA,1619477304
27,busselton,-33.65,115.3333,55.27,93,100,1.86,AU,1619477210
28,amargosa,-13.0303,-39.6047,67.37,93,4,5.37,BR,1619477475
29,ribeira grande,38.5167,-28.7,60.69,84,100,3.18,PT,1619477261
30,bosaso,11.2842,49.1816,84.43,64,56,1.77,SO,1619477489
31,narsaq,60.9167,-46.05,37.4,87,75,5.75,GL,1619477271
32,basco,20.4487,121.9702,75.42,66,85,17.49,PH,1619477490
33,jamestown,42.097,-79.2353,49.28,40,90,6.91,US,1619477234
34,hudiksvall,61.729,17.1036,31.86,68,81,2.33,SE,1619477490
35,iqaluit,63.7506,-68.5145,26.29,80,90,24.16,CA,1619477241
36,longyearbyen,78.2186,15.6401,21.2,63,40,12.66,SJ,1619477240
37,carnarvon,-24.8667,113.6333,62.6,67,0,5.75,AU,1619477125
38,cape town,-33.9258,18.4232,61.23,88,75,14.97,ZA,1619477231
39,rikitea,-23.1203,-134.9692,77.68,73,79,7.45,PF,1619477202
40,saint-pierre,-21.3393,55.4781,72.43,78,90,21.85,RE,1619477262
41,vanimo,-2.6741,141.3028,82.33,73,20,3.15,PG,1619477322
42,aktash,50.3,87.7333,18.18,76,95,3.83,RU,1619477492
43,hirara,24.8,125.2833,68.0,77,20,5.75,JP,1619477492
44,east london,-33.0153,27.9116,68.58,77,96,8.81,ZA,1619477278
45,praia da vitoria,38.7333,-27.0667,60.89,88,75,8.08,PT,1619477237
46,santa maria,-29.6842,-53.8069,62.6,63,0,3.44,BR,1619477254
47,talnakh,69.4865,88.3972,11.32,80,92,8.99,RU,1619477208
48,bluff,-46.6,168.3333,44.01,86,56,15.86,NZ,1619477235
49,cienaga,11.007,-74.2476,86.43,58,90,14.97,CO,1619477494
50,jeremie,18.65,-74.1167,79.59,76,12,5.06,HT,1619477494
51,butaritari,3.0707,172.7902,83.17,76,87,13.02,KI,1619477209
52,ban nahin,18.2418,104.2122,73.96,96,100,1.59,LA,1619477495
53,georgetown,5.4112,100.3354,77.76,89,40,4.61,MY,1619477069
54,tres arroyos,-38.3739,-60.2798,56.64,71,0,6.91,AR,1619477495
55,camacupa,-12.0167,17.4833,62.82,70,57,2.01,AO,1619477496
56,otradnoye,59.7775,30.8181,40.32,75,75,6.71,RU,1619477496
57,linjiang,41.8069,126.9078,50.32,92,100,2.91,CN,1619477496
58,imamoglu,37.2651,35.6572,62.8,100,20,2.3,TR,1619477497
59,kysyl-syr,63.8986,122.7617,16.11,86,100,9.98,RU,1619477497
60,ayolas,-27.4,-56.9,57.2,74,0,5.41,PY,1619477497
61,northam,51.0333,-4.2167,40.68,39,83,2.06,GB,1619477210
62,avera,33.194,-82.5271,75.63,38,1,3.44,US,1619477283
